name	type	units	low_cutoff	high_cutoff	reference	sampling_frequency	description
AD_1	SEEG	uV	0.1	1000	n/a	5000	soz
AD_2	SEEG	uV	0.1	1000	n/a	5000	nonsoz
AD_3	SEEG	uV	0.1	1000	n/a	5000	nonsoz
AD_4	SEEG	uV	0.1	1000	n/a	5000	nonsoz
MD_1	SEEG	uV	0.1	1000	n/a	5000	soz
MD_2	SEEG	uV	0.1	1000	n/a	5000	soz
MD_3	SEEG	uV	0.1	1000	n/a	5000	nonsoz
MD_4	SEEG	uV	0.1	1000	n/a	5000	nonsoz
PD_1	SEEG	uV	0.1	1000	n/a	5000	nonsoz
PD_2	SEEG	uV	0.1	1000	n/a	5000	nonsoz
PD_3	SEEG	uV	0.1	1000	n/a	5000	nonsoz
PD_4	SEEG	uV	0.1	1000	n/a	5000	nonsoz
