name	type	units	low_cutoff	high_cutoff	reference	sampling_frequency	description
LAD_Macro_01	SEEG	uV	0.1	1000	n/a	5000	soz
LAD_Macro_02	SEEG	uV	0.1	1000	n/a	5000	soz
LAD_Macro_03	SEEG	uV	0.1	1000	n/a	5000	nonsoz
LAD_Macro_04	SEEG	uV	0.1	1000	n/a	5000	nonsoz
LMD_Macro_01	SEEG	uV	0.1	1000	n/a	5000	soz
LMD_Macro_02	SEEG	uV	0.1	1000	n/a	5000	soz
LMD_Macro_03	SEEG	uV	0.1	1000	n/a	5000	nonsoz
LMD_Macro_04	SEEG	uV	0.1	1000	n/a	5000	nonsoz
LPD_Macro_01	SEEG	uV	0.1	1000	n/a	5000	soz
LPD_Macro_02	SEEG	uV	0.1	1000	n/a	5000	nonsoz
LPD_Macro_03	SEEG	uV	0.1	1000	n/a	5000	nonsoz
LPD_Macro_04	SEEG	uV	0.1	1000	n/a	5000	nonsoz
RAD_Macro_01	SEEG	uV	0.1	1000	n/a	5000	nonsoz
RAD_Macro_02	SEEG	uV	0.1	1000	n/a	5000	nonsoz
RAD_Macro_03	SEEG	uV	0.1	1000	n/a	5000	nonsoz
RAD_Macro_04	SEEG	uV	0.1	1000	n/a	5000	nonsoz
RMD_Macro_01	SEEG	uV	0.1	1000	n/a	5000	nonsoz
RMD_Macro_02	SEEG	uV	0.1	1000	n/a	5000	nonsoz
RMD_Macro_03	SEEG	uV	0.1	1000	n/a	5000	nonsoz
RMD_Macro_04	SEEG	uV	0.1	1000	n/a	5000	nonsoz
RPD_Macro_01	SEEG	uV	0.1	1000	n/a	5000	nonsoz
RPD_Macro_02	SEEG	uV	0.1	1000	n/a	5000	nonsoz
RPD_Macro_03	SEEG	uV	0.1	1000	n/a	5000	nonsoz
RPD_Macro_04	SEEG	uV	0.1	1000	n/a	5000	nonsoz
