name	type	units	low_cutoff	high_cutoff	reference	sampling_frequency	description
ADMacro_01	SEEG	uV	0.1	1000	n/a	5000	soz
ADMacro_02	SEEG	uV	0.1	1000	n/a	5000	soz
ADMacro_03	SEEG	uV	0.1	1000	n/a	5000	soz
ADMacro_04	SEEG	uV	0.1	1000	n/a	5000	nonsoz
PDMacro_01	SEEG	uV	0.1	1000	n/a	5000	soz
PDMacro_02	SEEG	uV	0.1	1000	n/a	5000	soz
PDMacro_03	SEEG	uV	0.1	1000	n/a	5000	soz
PDMacro_04	SEEG	uV	0.1	1000	n/a	5000	nonsoz
STSMacro_01	ECOG	uV	0.1	1000	n/a	5000	nonsoz
STSMacro_02	ECOG	uV	0.1	1000	n/a	5000	nonsoz
STSMacro_03	ECOG	uV	0.1	1000	n/a	5000	nonsoz
STSMacro_04	ECOG	uV	0.1	1000	n/a	5000	nonsoz
