name	type	units	low_cutoff	high_cutoff	reference	sampling_frequency	description
RD1_1	SEEG	uV	0.1	1000	n/a	5000	nonsoz
RD1_2	SEEG	uV	0.1	1000	n/a	5000	nonsoz
RD1_3	SEEG	uV	0.1	1000	n/a	5000	nonsoz
RD1_4	SEEG	uV	0.1	1000	n/a	5000	nonsoz
RD2_1	SEEG	uV	0.1	1000	n/a	5000	nonsoz
RD2_2	SEEG	uV	0.1	1000	n/a	5000	nonsoz
RD2_3	SEEG	uV	0.1	1000	n/a	5000	nonsoz
RD2_4	SEEG	uV	0.1	1000	n/a	5000	nonsoz
RD3_1	SEEG	uV	0.1	1000	n/a	5000	nonsoz
RD3_2	SEEG	uV	0.1	1000	n/a	5000	nonsoz
RD3_3	SEEG	uV	0.1	1000	n/a	5000	nonsoz
RD3_4	SEEG	uV	0.1	1000	n/a	5000	nonsoz
